标题,豆瓣评分,链接,提取码
艺伎回忆录,7.5,https://pan.baidu.com/s/1Q5ydD1NIzzpBnJILUTILaw,2333
天使之恋,7.4,https://pan.baidu.com/s/1PvzFbYf4RNgGjE1C50xsiQ,pzgk
暮光之城,7.5,https://pan.baidu.com/s/1PRdTo2gA91EXOIst0OHe7w,e1zw
金发男子,7.9,https://pan.baidu.com/s/1PI2bpmJDPO7FajAsTTaHpQ,3bek
单身日记：好孕来袭,7.3,https://pan.baidu.com/s/1orsoMbB2LSRB7Hbo3FpYWg,r6uc
初恋这首情歌,8.2,https://pan.baidu.com/s/1oQNuvoX9zGB-magezH7ewQ,djpa
一首小夜曲,7.2,https://pan.baidu.com/s/1ONsufIjjLgKxZ7d3-72mVw,w00c
爱在日落黄昏时,8.8,https://pan.baidu.com/s/1OMpJL-BN__KUN2QNTKp1RA,vb0z
舞出我人生3,7.7,https://pan.baidu.com/s/1OLxFAE7GOhvqMy18biZb2w,2333
永不妥协,8.4,https://pan.baidu.com/s/1OHMYEjyIm9eOD3wUOmbqlw,fzqb
海滩,7.6,https://pan.baidu.com/s/1OfG1Eaeer5oo2ao29AIWmA,2333
一天,7.9,https://pan.baidu.com/s/1O7dxxHXNdKgLneC9dP9PGQ,2333
我恨你的十件事,7.8,https://pan.baidu.com/s/1ntLHVsMoAiH9xWIpBhTATg,a2cc
花样年华,8.6,https://pan.baidu.com/s/1nr8_qngcngKc8ddhLwu_mQ,2333
疯狂愚蠢的爱,7.3,https://pan.baidu.com/s/1NqeDOWRRvFIbpXispD-v9A,2333
布达佩斯之恋,8.6,https://pan.baidu.com/s/1Nmwwbg-tj54xPkDgLCm0lg,uhab
若能与你共乘海浪之上,7.1,https://pan.baidu.com/s/1nmR-NqJbm7bbwdbdUnPeIQ,u5y4
最爱,7.4,https://pan.baidu.com/s/1NHyLkgjYSyUEb2zd_yVpTg,2333
怦然心动,9.1,https://pan.baidu.com/s/1nHs5z1YOBMNEXWej6XZk3g,6y19
初恋这件小事,8.4,https://pan.baidu.com/s/1ncc2SfZwDa7fCyg3ohXkOA,2333
戴珍珠耳环的少女,7.8,https://pan.baidu.com/s/1N79Vq3L0MvSMoe0iEg79PQ,ce3e
空房间,8.0,https://pan.baidu.com/s/1N5pToCbim9wDWyIEPD_lLg,75o4
壁花少年,8.0,https://pan.baidu.com/s/1MYn4DNS293IbN8oSIZGLjA,2333
红鞋子和七个小矮人,7.6,https://pan.baidu.com/s/1mYj8JIgcF2cpoOtUaNiI5g,pidv
那些年，我们一起追的女孩,8.1,https://pan.baidu.com/s/1MW34u0JLZEXH_4TbDff-tg,2333
柳烈的音乐专辑,7.8,https://pan.baidu.com/s/1mvAERxF6n1tGAelXbdk8Bg,2333
无姓之人,8.2,https://pan.baidu.com/s/1MQnLPvYWuYkD2zfwYisL1g,z1ie
热血青春,7.1,https://pan.baidu.com/s/1moUa4gdHz4XIcwMEEpVOxA,1dkt
梦工厂,7.7,https://pan.baidu.com/s/1MM21cC30vLFpgjWY48NXWQ,yf4i
半个喜剧,7.4,https://pan.baidu.com/s/1lZA9U6fkuLCBDz5vs-JU8A,lbts
公主与青蛙,7.4,https://pan.baidu.com/s/1lx-69o_am36wnv6O47BySQ,2333
海角七号,7.5,https://pan.baidu.com/s/1lTJFGZyUtvi4t2wVn3qd-Q,hu8i
周末时光,8.2,https://pan.baidu.com/s/1Ls98YYk3wkfRMn-Jj4eIJQ,os7a
傲慢与偏见,8.6,https://pan.baidu.com/s/1LPaQruo0Bx_eP_NVwPnCrA,2333
公主日记,7.5,https://pan.baidu.com/s/1lGdWazMLWNfa7sYs85DqiQ,gd6o
和莎莫的500天,8.0,https://pan.baidu.com/s/1LDHjIsrkvjNHmzC6EvJ_Bg,atz9
贫民窟的百万富翁,8.6,https://pan.baidu.com/s/1LdecH9Wbw6S08IuTmK7Uxw,t784
幸福终点站,8.8,https://pan.baidu.com/s/1L4_PxC9-I5lQl-clsWZ6ZA,jmbf
蓝宇,8.3,https://pan.baidu.com/s/1kTsOT99#list/path=%2F,yhml
喊·山,8.0,https://pan.baidu.com/s/1KdZ2h9eMC2Gb898J2XkJBw,rzdl
游园惊梦,7.6,https://pan.baidu.com/s/1k1WlMQL1qle1N4jkT3GWGQ,2333
爱乐之城,8.4,https://pan.baidu.com/s/1K-mGeFqUSqBl4HEGwqVg4Q,h9to
她,8.4,https://pan.baidu.com/s/1k_QgwNStE7rQIEKdPGmy7Q,2333
美丽人生,9.5,https://pan.baidu.com/s/1jpZuoONo1KG4bE1h9fhsUg,tflr
我脑中的橡皮擦,7.9,https://pan.baidu.com/s/1JeXwxJpevCScWqFRhnhwYA,2333
再见，妈妈,8.1,https://pan.baidu.com/s/1jej_2FE10TKxtPL2aAREDg,nbnu
隐秘的生活,7.7,https://pan.baidu.com/s/1iw0dFvak7XapLpBU0d-enA,w4cc
舞出我人生2：街舞,7.3,https://pan.baidu.com/s/1iV2U1IDhvV27ryykU2m2zg,2333
欲盖弄潮,8.1,https://pan.baidu.com/s/1iGl860Z7f60qbl8Fo976iw,6qfy
珍珠港,7.9,https://pan.baidu.com/s/1i4iUF2iR5LF8_XNdQlgONg,2333
萤火之森,8.9,https://pan.baidu.com/s/1i4gNTR1gyVfll4tt5kO5xg,5ke1
一代宗师,8.0,https://pan.baidu.com/s/1HTkr128xe0Aa9xswgSvpvg,2333
军中乐园,7.4,https://pan.baidu.com/s/1hsePWQgGfy73BV0TDTMqWw,2333
