标题,豆瓣评分,电影年份,故事简介…,链接,提取码
天生不对,4.1,2017,秦瑞（周渝民 饰）仪表堂堂，英俊潇洒，但总遇不到适合自己的女人，恋爱一波三折，他有些灰心，感觉自己这辈子都不会遇见可以白头到老的女人了。直到有一天，他遇见了佩佩（薛凯琪 饰），真正的爱情才逐渐开始，…,https://pan.baidu.com/s/1wKelM9tbhRZmMf0UVKktIg,tfow
神奇女侠,7.1,2017,戴安娜（盖尔·加朵 Gal Gadot 饰）是女王希波吕忒（康妮·尼尔森 Connie Nielsen 饰）的女儿，自幼生活在天堂岛上。巨大的屏障将这座岛屿同外界的纷纷扰扰隔开犹如一个世外桃源，而岛…,https://pan.baidu.com/s/1Wa1DK4c6Arpb12AdRNl5Tg,jimb
完美陌生人,8.5,2018,"三对处于各个婚姻阶段的伴侣和一个宅男，七人聚在一起吃晚餐。女主人提议下拍板决定当夜所有人分享每一个电话、每一条短信、邮件的内容,由此许多秘密开始不再是秘密，他们之间的关系也开始发生波动。无数疮痍在这…",https://pan.baidu.com/s/1w5IKXA9R0Wulv6TbeH0w6Q,fowd
匪医诺克,6.6,2017,当医生来敲门，健康的人都成病人，不管小病还是重症，能够赚钱都是好病人。                                                                …,https://pan.baidu.com/s/1W4MygtL1cXvq75rVxeBMFw,22qn
在切瑟尔海滩上,7.3,2017,影片讲述上世纪60年代西方性解放运动来临之前，受过良好教育且深爱对方的两位年轻人在面对新婚初夜时，因担忧和恐惧而产生误解，最终分道扬镳、终身不再来往的故事。                     …,https://pan.baidu.com/s/1W3N4aXwTPVySTstHouG03Q,2333
人尽皆知,5.9,2018,《人尽皆知》讲述了定居在阿根廷的西班牙裔女子劳拉和她的丈夫及孩子回到西班牙小镇参加姐姐的婚礼，然而孩子却莫名失踪，这一突发事件使得原本和谐的家庭开始互相猜疑，尘封许久的秘密逐渐浮出水面……     …,https://pan.baidu.com/s/1VnBCVkiPFOKsFrQZ_eezHg,2333
瑞普·凡·温克尔的新娘,7.6,2016,熙熙攘攘的东京，生活着对人生似乎没有任何主见的派遣教师皆川七海（黑木华 饰）。通过网络，她与同为教师的鹤冈铁也（地曳豪 饰）相识，并走入婚姻殿堂。为了不让婚礼寒酸，她请来从事各种奇怪工作的网友安室行…,https://pan.baidu.com/s/1vLLTLJILM934TuufWvRV8g,9999
无人注视,7.3,2017,同志题材电影，但并非站在传统性别概念上的同志电影，只是探讨爱情的故事，为躲开纷扰的内心远走他乡，举目无亲，生活工作四处碰壁，孤寂踟躇，从一开始的国内明星，到异国无人注视的市井小民，然而真正在意的那份…,https://pan.baidu.com/s/1VDh35jr7cC4UDnCNB8RAUw,2333
龙先生,6.9,2017,由张震演出日本导演萨布（Sabu）的新片《龙先生》（Mr.Long）入选柏林影展，并将角逐柏林影帝。                        ……,https://pan.baidu.com/s/1v4HfWtXml70r9cAVDDko_Q,d2x5
猩球崛起3：终极之战,6.9,2017,凯撒（安迪·瑟金斯 饰）领导的猿族将被迫与残暴的Colonel（伍迪·哈里森 饰）领导的人类军队上演一场生死大战。猿族在战斗中遭遇了前所未有的重创，由此激发了凯撒内心中黑暗的一面，心中燃起复仇的烈火…,https://pan.baidu.com/s/1V3GuRXSwWDjikv8jvmgoTw,2333
金刚：骷髅岛,6.5,2017,上世纪70年代，一支集结了科考队员、探险家、战地摄影记者、军人的探险队，冒险前往南太平洋上的神秘岛屿——骷髅岛。他们的到来惊扰了岛上之神——史上最大金刚。经过一番惨烈的激战之后，探险队员散落在了岛屿…,https://pan.baidu.com/s/1uyJXIfpism5ZC-pPLqTv2A,2333
肉与灵,7.6,2017,《肉与灵》剧本由伊尔蒂科亲自撰写，讲述了一个超现实的爱情故事。左手残疾的安德在一家屠宰场担任财务总监，平日里处理些工作琐事，身边几乎没有朋友。安德并不愿改变这种一个人吃饭一个人居住的生活，直到屠宰场…,https://pan.baidu.com/s/1uWmNmFsiGfAzKt7ZqyYxOQ,7jch
你的名字。,8.4,2016,在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音 配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住…,https://pan.baidu.com/s/1urHb83QG1CS5zmqZ8Z_Jjg,e31t
水形物语,7.2,2018,故事发生在1963年，时值冷战期间，哑女艾丽莎（莎莉·霍金斯 Sally Hawkins 饰）在政府实验室里工作，是那里的一名清洁女工。年幼时，一场大病夺走了艾丽莎的声音，之后一直至今，她都在沉默之…,https://pan.baidu.com/s/1UrGG_8oVRUVXNbQLxN081Q,ijz4
动物园长的夫人,7.3,2017,据最新消息，《北方风云》、《鲸骑士》女导演妮基·卡罗将执导拍摄一部讲述二战时期纳粹屠杀犹太人题材的影片《动物园长的夫人》，该片改编自戴安娜·阿克曼同名小说，已确定由“劳模姐”杰西卡·查斯坦、丹尼尔·…,https://pan.baidu.com/s/1u6E1cPig78ww4rmpPTaH3A,2333
三块广告牌,8.7,2018,米尔德雷德（弗兰西斯·麦克多蒙德 Frances McDormand 饰）的女儿在外出时惨遭奸杀，米尔德雷德和丈夫查理（约翰·哈克斯 John Hawkes 饰）之间的婚姻因此走到了尽头，如今，她同…,https://pan.baidu.com/s/1tVw8aAH3QiGrMRyqLYWvMw,2333
银河护卫队2,8.0,2017,火箭浣熊（布莱德利·库珀 Bradley Cooper 饰）偷走了大祭司阿耶莎（伊丽莎白·德比齐 Elizabeth Debicki 饰）的能量电池，包括星爵（克里斯·帕拉特 Chris Pratt…,https://pan.baidu.com/s/1tvP7xcwUe5BQoRbOOyBP8w,54a3
攻壳机动队,6.4,2017,近未来，人类的各种器官均可实现移植，一时间机器人、生化人、仿生人充斥世间，与人类真假莫辨。某座繁华都市的大厦内，汉卡公司高管正与非洲来宾洽谈业务，突然宴会变成血腥大屠杀，暴走的机器人大开杀戒。隶属公…,https://pan.baidu.com/s/1TrxAIl8PDV8quir1TGupGQ,2333
